2025-10-06 11:43:04.417 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2025-10-06 11:44:00.830 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2025-10-06 11:44:00.867 [main] INFO  com.company.nextlabs.policygen.PolicyGeneratorApplication - Starting PolicyGeneratorApplication using Java 11.0.28 on MITRE with PID 27136 (C:\Users\ylioh\IdeaProjects\CapstoneProject\build\classes\java\main started by ylioh in C:\Users\ylioh\IdeaProjects\CapstoneProject)
2025-10-06 11:44:00.872 [main] INFO  com.company.nextlabs.policygen.PolicyGeneratorApplication - No active profile set, falling back to 1 default profile: "default"
2025-10-06 11:44:01.444 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2025-10-06 11:44:01.791 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 874 ms
2025-10-06 11:44:02.027 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2025-10-06 11:44:02.034 [main] INFO  com.company.nextlabs.policygen.PolicyGeneratorApplication - Started PolicyGeneratorApplication in 1.476 seconds (JVM running for 2.461)
2025-10-06 11:44:04.108 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-10-06 11:44:04.108 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2025-10-06 15:14:33.280 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2025-10-06 15:14:33.333 [main] INFO  com.company.nextlabs.policygen.PolicyGeneratorApplication - Starting PolicyGeneratorApplication using Java 11.0.28 on MITRE with PID 31000 (C:\Users\ylioh\IdeaProjects\CapstoneProject\build\classes\java\main started by ylioh in C:\Users\ylioh\IdeaProjects\CapstoneProject)
2025-10-06 15:14:33.339 [main] INFO  com.company.nextlabs.policygen.PolicyGeneratorApplication - No active profile set, falling back to 1 default profile: "default"
2025-10-06 15:14:34.390 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2025-10-06 15:14:34.561 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1159 ms
2025-10-06 15:14:35.283 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2025-10-06 15:14:35.293 [main] INFO  com.company.nextlabs.policygen.PolicyGeneratorApplication - Started PolicyGeneratorApplication in 2.406 seconds (JVM running for 4.087)
2025-10-06 15:30:35.306 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-10-06 15:30:35.307 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2025-10-06 15:39:56.262 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2025-10-06 15:39:56.291 [main] INFO  com.company.nextlabs.policygen.PolicyGeneratorApplication - Starting PolicyGeneratorApplication using Java 11.0.28 on MITRE with PID 35520 (C:\Users\ylioh\IdeaProjects\CapstoneProject\build\classes\java\main started by ylioh in C:\Users\ylioh\IdeaProjects\CapstoneProject)
2025-10-06 15:39:56.294 [main] INFO  com.company.nextlabs.policygen.PolicyGeneratorApplication - No active profile set, falling back to 1 default profile: "default"
2025-10-06 15:39:56.962 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2025-10-06 15:39:57.282 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 956 ms
2025-10-06 15:39:57.684 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2025-10-06 15:39:57.693 [main] INFO  com.company.nextlabs.policygen.PolicyGeneratorApplication - Started PolicyGeneratorApplication in 1.709 seconds (JVM running for 3.265)
2025-10-06 15:45:03.982 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-10-06 15:45:03.990 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 4 ms
2025-10-06 15:45:36.950 [http-nio-8080-exec-3] WARN  org.springframework.web.servlet.mvc.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'GET' not supported]
2025-10-06 15:46:05.484 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2025-10-06 15:46:05.516 [main] INFO  com.company.nextlabs.policygen.PolicyGeneratorApplication - Starting PolicyGeneratorApplication using Java 11.0.28 on MITRE with PID 27236 (C:\Users\ylioh\IdeaProjects\CapstoneProject\build\classes\java\main started by ylioh in C:\Users\ylioh\IdeaProjects\CapstoneProject)
2025-10-06 15:46:05.520 [main] INFO  com.company.nextlabs.policygen.PolicyGeneratorApplication - No active profile set, falling back to 1 default profile: "default"
2025-10-06 15:46:06.217 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2025-10-06 15:46:06.364 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 811 ms
2025-10-06 15:46:06.794 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2025-10-06 15:46:06.803 [main] INFO  com.company.nextlabs.policygen.PolicyGeneratorApplication - Started PolicyGeneratorApplication in 1.794 seconds (JVM running for 3.179)
2025-10-06 15:46:10.193 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-10-06 15:46:10.194 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2025-10-06 16:20:13.533 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2025-10-06 16:20:13.579 [main] INFO  com.company.nextlabs.policygen.PolicyGeneratorApplication - Starting PolicyGeneratorApplication using Java 11.0.28 on MITRE with PID 15368 (C:\Users\ylioh\IdeaProjects\CapstoneProject\build\classes\java\main started by ylioh in C:\Users\ylioh\IdeaProjects\CapstoneProject)
2025-10-06 16:20:13.584 [main] INFO  com.company.nextlabs.policygen.PolicyGeneratorApplication - No active profile set, falling back to 1 default profile: "default"
2025-10-06 16:20:14.543 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2025-10-06 16:20:14.753 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1123 ms
2025-10-06 16:20:15.670 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2025-10-06 16:20:15.683 [main] INFO  com.company.nextlabs.policygen.PolicyGeneratorApplication - Started PolicyGeneratorApplication in 2.564 seconds (JVM running for 5.167)
2025-10-06 16:23:16.130 [http-nio-8080-exec-3] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-10-06 16:23:16.131 [http-nio-8080-exec-3] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2025-10-06 16:38:11.954 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2025-10-06 16:38:12.005 [main] INFO  com.company.nextlabs.policygen.PolicyGeneratorApplication - Starting PolicyGeneratorApplication using Java 11.0.28 on MITRE with PID 24732 (C:\Users\ylioh\IdeaProjects\CapstoneProject\build\classes\java\main started by ylioh in C:\Users\ylioh\IdeaProjects\CapstoneProject)
2025-10-06 16:38:12.010 [main] INFO  com.company.nextlabs.policygen.PolicyGeneratorApplication - No active profile set, falling back to 1 default profile: "default"
2025-10-06 16:38:13.029 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2025-10-06 16:38:13.143 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1081 ms
2025-10-06 16:38:13.578 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2025-10-06 16:38:13.586 [main] INFO  com.company.nextlabs.policygen.PolicyGeneratorApplication - Started PolicyGeneratorApplication in 2.113 seconds (JVM running for 3.669)
2025-10-06 16:38:15.777 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-10-06 16:38:15.778 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2025-10-06 16:41:50.774 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2025-10-06 16:41:50.807 [main] INFO  com.company.nextlabs.policygen.PolicyGeneratorApplication - Starting PolicyGeneratorApplication using Java 11.0.28 on MITRE with PID 17392 (C:\Users\ylioh\IdeaProjects\CapstoneProject\build\classes\java\main started by ylioh in C:\Users\ylioh\IdeaProjects\CapstoneProject)
2025-10-06 16:41:50.813 [main] INFO  com.company.nextlabs.policygen.PolicyGeneratorApplication - No active profile set, falling back to 1 default profile: "default"
2025-10-06 16:41:52.498 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2025-10-06 16:41:52.627 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1756 ms
2025-10-06 16:41:53.135 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2025-10-06 16:41:53.145 [main] INFO  com.company.nextlabs.policygen.PolicyGeneratorApplication - Started PolicyGeneratorApplication in 2.724 seconds (JVM running for 4.192)
